有價證券代號,名稱,上市日,產業別
6435,大中,2016/01/07,半導體業
6438,迅得,2017/04/25,其他電子業
6441,廣錠,2017/09/27,電腦及週邊設備業
6446,藥華藥,2016/07/19,生技醫療業
6457,紘康,2015/06/12,半導體業
6461,益得,2018/03/28,生技醫療業
6462,神盾,2015/12/23,半導體業
6465,威潤,2015/11/20,通信網路業
6469,大樹,2016/03/30,生技醫療業
6470,宇智,2015/11/03,通信網路業
6472,保瑞,2017/04/19,生技醫療業
6482,弘煜科,2016/06/13,文化創意業
6485,點序,2015/11/17,半導體業
6486,互動,2016/09/13,通信網路業
6488,環球晶,2015/09/25,半導體業
6492,生華科,2017/04/24,生技醫療業
6494,九齊,2016/05/09,半導體業
6496,科懋,2016/01/07,生技醫療業
6497,亞獅康-KY,2017/06/01,生技醫療業
6499,益安,2016/07/27,生技醫療業
6506,雙邦,2011/05/03,化學工業
6508,惠光,2004/03/22,農業科技業
6509,聚和,2004/04/12,化學工業
6510,精測,2016/03/24,半導體業
6512,啟發電,2016/03/25,其他電子業
6514,芮特-KY,2015/12/02,通信網路業
6516,勤崴國際,2019/05/06,資訊服務業
6523,達爾膚,2016/06/16,生技醫療業
6530,創威,2018/01/23,通信網路業
6532,瑞耘,2016/09/26,半導體業
6535,順藥,2016/09/26,生技醫療業
6538,倉和,2016/10/21,電子零組件業
6542,隆中,2016/09/08,文化創意業
6547,高端疫苗,2018/04/17,生技醫療業
6548,長科*,2016/09/13,半導體業
6556,勝品,2017/10/31,光電業
6560,欣普羅,2017/01/24,光電業
6561,是方,2018/06/05,通信網路業
6568,宏觀,2016/12/28,半導體業
6569,醫揚,2016/12/21,生技醫療業
6570,維田,2017/12/11,電腦及週邊設備業
6574,霈方,2017/09/04,生技醫療業
6576,逸達,2018/06/29,生技醫療業
6577,勁豐,2017/03/21,電腦及週邊設備業
6578,達邦蛋白,2018/09/18,農業科技業
6589,台康生技,2019/06/28,生技醫療業
6590,普鴻,2018/12/24,資訊服務業
6593,台灣銘板,2017/11/03,資訊服務業
6594,展匯科,2017/04/28,半導體業
6596,寬宏藝術,2018/01/04,文化創意業
6603,富強鑫,2004/04/05,電機機械
6609,瀧澤科,2003/09/23,電機機械
6612,奈米醫材,2018/07/18,生技醫療業
6613,朋億,2017/12/28,其他電子業
6615,慧智,2018/01/22,生技醫療業
6616,特昇-KY,2018/01/10,其他業
6624,萬年清,2019/05/28,其他業
6629,泰金-KY,2019/06/06,其他業
6640,均華,2018/10/23,半導體業
6642,富致,2019/09/23,電子零組件業
6643,M31,2019/01/23,半導體業
6649,台生材,2019/06/05,生技醫療業
6654,天正國際,2018/10/23,其他電子業
6662,樂斯科,2019/03/26,生技醫療業
6664,群翊,2018/09/12,電子零組件業
6667,信紘科,2018/11/13,其他電子業
6679,鈺太,2019/05/09,半導體業
6680,鑫創電子,2019/09/16,電腦及週邊設備業
6683,雍智科技,2019/04/23,半導體業
6803,崑鼎,2010/05/27,其他業
7402,邑錡,2015/12/29,光電業
8024,佑華,2006/09/25,半導體業
8027,鈦昇,2015/06/09,電機機械
8032,光菱,2003/10/02,電子通路業
8034,榮群,2004/05/06,通信網路業
8038,長園科,2013/11/21,電子零組件業
8040,九暘,2007/04/30,半導體業
8042,金山電,2004/03/22,電子零組件業
8043,蜜望實,2003/10/24,電子零組件業
8044,網家,2005/01/24,電子商務
8047,星雲,2004/02/09,其他電子業
